franc	10
amorcer	1
voleur	8
premier	10
cependant	4
enterrer	2
jardin	4
dix	8
écus	14
hier	3
Dix	4
mill	9
or	5
o	1
trahir	4
chaleur	3
haut	2
raisonner	1
arriver	1
pardonner	9
aujourd'hui	4
feindre	2
aborder	1
interrompre	1
allier	2
travers	1
imaginer	2
entrer	4
Dieu	8
aurais	4
plaindre	5
misérable	1
dieu	9
disent	1
mentir	3
faux	1
colère	5
trahissent	1
deviennent	1
ennemi	2
pareil	2
cause	2
couper	2
gorge	3
pensée	2
coudre	1
pistole	4
scandaleux	1
somptueux	2
équipage	1
promener	1
ville	4
quereller	2
pi	1
crier	2
vengeance	1
pied	8
jusque	10
tête	6
constitution	1
vingt	5
déplaisent	1
furieusemer	1
marquis	3
vêtu	2
sai	3
gagne	1
mal	17
jeu	6
profiter	3
honnête	12
reste	5
ruban	1
larder	1
demi-douzaine	1
aiguillette	2
suffire	1
attacher	3
haut-de-chausses	1
nécessaire	5
employer	1
perruque	3
cheveu	1
cru	3
coûter	1
gager	3
rubans	1
rapporter	2
année	4
dix-huit	3
livre	9
six	6
sol	1
huit	5
denier	7
douze	5
4	1
laisson	1
parlon	1
signe	3
bourse	1
geste	1
marchander	1
mariage	30
désirons	1
cri	1
façon	6
accord	3
choix	6
patience	2
alarmer	1
bout	6
appelée	1
trouvez	1
charmant	2
physionomie	2
pleine	1
croyez	4
songer	7
parti	4
souhaitable	2
très	4
mine	3
ménage	1
mari	5
satisfaction	2
considérable	4
question	6
épouser	13
souhaite	2
tâcher	3
regagner	1
maintien	1
pourvoir	6
éblouissement	1
allez	3
boir	1
cuisin	1
verre	2
clair	4
damoiseau	2
flouet	1
5	1
vigueur	1
poule	2
destine	2
certaine	2
veuve	2
matin	1
seigneur	12
Anselme	8
mûr	1
prudent	1
cinquante	1
an	14
ver	1
marier	8
mie	1
pardon	7
humble	2
servant	1
permission	3
épouserez	1
soir	7
tuer	1
tel	5
tueras	1
épousera	1
audace	4
redire	2
approuver	2
fassions	1
juge	4
consen	2
rendras	1
jugement	1
passerai	1
Ici	1
élu	1
Monsieur	89
contredit	1
époux	4
riche	4
nez	2
moque	5
hé	3
fond	3
6	1
gentilhomme	1
noble	3
posé	1
accommodé	1
auquel	2
rencontrer	1
précipiter	2
faudrait	1
occasion	3
cheveux	1
